pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_insol,st_teff,st_rad,st_mass,sy_dist,ra,dec,discoverymethod,disc_year
Kepler-334 d,1.41,2.57,25.09849,656.0,39.475,5828.0,1.068,1.022,426.59,287.1406177,47.1151153,Transit,2014
Kepler-251 d,2.77,8.1,30.133001,536.0,17.477,5526.0,0.89,0.891,924.625,296.5662171,44.1058077,Transit,2014
Kepler-729 b,3.58,12.5,3.166353714,1273.0,1089.549,5633.0,0.91,0.94,1921.15,286.3600604,45.4142664,Transit,2016
Kepler-687 b,3.52,12.2,20.50586978,518.0,15.648,4841.0,0.73,0.77,633.66,289.3154576,39.1532911,Transit,2016
Kepler-119 b,3.6,12.6,2.422082,1213.0,745.285,5595.0,0.839,0.918,701.996,295.9463854,42.6588324,Transit,2014
Kepler-1115 b,1.7,3.53,23.5540725,1381.0,516.101,8480.0,1.73,1.6,983.245,294.9917723,40.1443964,Transit,2016
Kepler-1073 b,2.3,5.9,8.67888593,905.0,128.55,5792.0,1.0,1.0,809.897,294.1527259,38.2330886,Transit,2016
HD 16175 b,12.8,1875.1876013,990.0,,,5981.0,1.72,1.63,59.859,39.2577379,42.0624526,Radial Velocity,2009
Kepler-405 b,2.08,4.98,10.613839,785.0,55.623,5818.0,0.893,0.873,1065.08,291.4094615,38.3400107,Transit,2014
KIC 10001893 c,,,0.32528,,,27500.0,0.18,0.47,1672.94,287.3892308,46.9844491,Orbital Brightness Modulation,2014
Kepler-899 b,2.68,7.65,19.17891293,640.0,62.198,5595.0,0.91,0.93,1246.43,297.4825612,40.6807412,Transit,2016
Kepler-1255 b,2.32,5.99,36.2919336,694.0,39.671,6018.0,1.12,1.08,1617.07,295.2392569,42.7264842,Transit,2016
KELT-23 A b,14.829507,298.12454,2.255251,1561.0,991.183,5899.0,0.996,0.944,126.261,232.1466406,66.3587097,Transit,2019
Kepler-1447 b,2.9,8.75,56.6747285,522.0,10.349,5722.0,0.95,0.97,890.296,289.6434285,50.727016,Transit,2016
TOI-220 b,3.03,13.8,10.695264,805.0,66.8553,5298.0,0.858,0.825,90.7402,91.7996988,-61.9972098,Transit,2021
HD 23472 d,0.75,0.55,3.97664,909.0,117.0,4684.0,0.71,0.67,39.0341,55.4590314,-62.7672667,Transit,2022
HD 215497 c,13.0,111.23994245,566.0,,,5113.0,0.85,0.92,40.5468,341.652714,-56.5997984,Radial Velocity,2009
TOI-5726.01,2.554,7.05,5.491125215,1093.03,338.95,5874.0,1.106,1.06,108.848,123.3950504,68.5745899,Transit,2024
GJ 338 B b,3.25,10.6,24.422,391.0,,4014.0,0.58,0.64,6.33256,138.5916722,52.6835211,Radial Velocity,2020
TOI-2285 b,1.77,19.5,13.635109,358.0,3.91,3491.0,0.464,0.454,42.409,332.5632644,58.7060934,Transit,2021
Kepler-659 b,2.5,6.8,17.671796,513.0,21.309,4870.0,0.74,0.79,722.64,287.6081777,47.5096893,Transit,2016
TOI-411 c,2.328,9.72,9.573083,931.0,156.75,6169.0,1.117,1.098,62.7792,54.819538,-42.7630276,Transit,2022
Kepler-1118 b,2.74,7.95,38.6715075,502.0,20.011,5688.0,0.97,0.96,888.325,299.9656619,44.1608805,Transit,2016
Kepler-133 c,2.84,8.45,31.517586,663.0,67.161,5736.0,1.425,1.02,653.6,297.2778906,48.3203542,Transit,2014
Kepler-620 b,3.32,11.0,12.91375431,849.0,219.051,6155.0,1.22,1.15,1355.28,291.1593939,51.3348228,Transit,2016
Kepler-92 b,3.51,64.3,13.749,975.0,257.776,5883.0,1.7,1.21,477.992,289.0860607,41.5630224,Transit,2013
HAT-P-51 b,13.50682174,97.57332095,4.21802091,1168.2,310.0,5453.0,0.995,0.961,440.089,21.0651251,32.8107,Transit,2015
Kepler-179 b,1.64,3.33,2.735926,1075.0,360.262,5302.0,0.759,0.893,605.68,298.6636163,47.7619329,Transit,2014
Kepler-166 b,2.27,5.77,7.650254,772.0,77.543,5413.0,0.742,0.811,603.53,293.1600977,48.8812074,Transit,2014
Kepler-595 c,1.009,3.3,12.38602,679.0,50.23,5138.5,0.821,0.93,643.009,294.5703593,50.6730147,Transit,2020
Kepler-28 c,1.857,2.06,8.99,509.0,35.898,4499.3,0.664,0.684,438.359,292.1370409,42.4294835,Transit,2011
Kepler-210 b,2.94,8.96,2.453234,737.0,122.139,4559.0,0.65,0.77,232.75,292.5034196,43.0832188,Transit,2014
Kepler-782 b,3.21,10.4,158.6853308,350.0,3.987,5867.0,1.01,0.98,446.844,288.868246,47.75947,Transit,2016
Kepler-414 c,3.01,29.9,7.171,890.0,137.086,5536.0,0.946,0.89,413.46,297.9615616,48.2443363,Transit Timing Variations,2014
Kepler-238 f,2.0,13.5,50.447,568.0,35.869,5800.0,0.96,1.06,1798.75,287.8971066,40.6378141,Transit,2013
Kepler-664 b,2.66,7.56,2.525593315,1406.0,652.435,5754.0,1.02,1.01,1210.12,288.7549029,48.226203,Transit,2016
Kepler-1123 b,1.67,3.43,4.33946454,1061.0,190.016,5500.0,0.9,0.93,704.323,294.5177291,50.6703927,Transit,2016
Kepler-1098 b,1.3,2.24,2.543072855,1319.0,995.67,5794.0,0.99,0.99,1049.19,295.502673,43.2326992,Transit,2016
HAT-P-49 b,17.82231,699.226,2.69155,2131.0,4392.03,6820.0,2.06,2.22,350.351,305.4413294,26.6926759,Transit,2014
XO-4 b,14.01125,451.3186,4.12508,1630.0,1112.27,6397.0,1.45,1.1,272.655,110.3880285,58.2681094,Transit,2010
Kepler-1084 b,1.11,1.41,2.05333679,1737.0,1766.593,6113.0,1.28,1.12,405.533,290.1019809,48.251146,Transit,2016
Kepler-520 b,1.66,3.39,19.67416124,711.0,59.77,6112.0,1.09,1.1,623.901,293.1802903,41.6177408,Transit,2016
nu Oph b,12.0,7057.73298,529.93,,,4887.0,12.24,2.61,46.2107,269.7566013,-9.7741342,Radial Velocity,2012
Kepler-1895 b,2.11934728,5.14,6.070290089,789.0,91.45,5076.0,0.763,0.86,984.187,291.6756005,48.7625419,Transit,2021
Kepler-1669 b,2.78043818,8.15,9.51216,530.0,18.66,4303.0,0.714145,0.67,543.444,297.4303826,39.8478795,Transit,2020
Kepler-339 d,1.17,14.7,10.558345,796.0,58.651,5631.0,0.802,0.87,616.637,293.351701,48.4445922,Transit,2014
Kepler-351 d,2.72,7.85,142.544247,318.0,1.989,5225.0,0.78,0.81,1083.91,286.4527949,42.6577891,Transit,2016
HAT-P-29 b,13.11453,279.6904,5.72319,1271.0,433.0,6087.0,1.3,1.45,313.576,33.1310921,51.7787754,Transit,2011
WASP-12 b,22.02564708,467.2101,1.091418901,2601.0,8220.584,6265.0,1.69,1.325,427.246,97.636645,29.6722662,Transit,2008
WASP-54 b,17.71022,187.5197,3.69364,1759.0,1639.1072,6100.0,1.76,1.08,251.303,205.4542456,-0.1281712,Transit,2012
WASP-88 b,16.36514,133.4886,4.954,1772.0,1489.5543,6430.0,1.8,0.94,523.756,309.5112337,-48.4620833,Transit,2014
WASP-100 b,14.90797,400.4658,2.84938,2190.0,2005.83,6900.0,1.57,0.77,364.411,68.9598159,-64.027039,Transit,2014
WASP-26 b,13.56289,270.1555,2.7566,1650.0,1225.5264,6034.0,1.22,0.86,252.759,4.6030424,-15.2674044,Transit,2010
WASP-6 b,11.54527,117.5971,3.36101,1184.0,273.0273,5450.0,0.73,0.55,197.119,348.1571282,-22.6741248,Transit,2009
WASP-178 b,20.28829,527.5978,3.3448285,2470.0,5550.0,9360.0,1.67,2.07,427.678,227.270329,-42.7049658,Transit,2019
Kepler-1373 b,1.16,1.65,1.29123275,1887.0,8385.9,6299.0,1.33,1.22,1699.46,285.7520229,39.2491731,Transit,2016
Kepler-1104 b,1.23,2.04,5.03728015,1321.0,813.524,6417.0,1.41,1.3,530.658,294.4685197,49.3309789,Transit,2016
HD 240210 b,12.8,1655.82,501.75,,,4297.0,25.456816,0.82,372.405,347.6219227,57.0294818,Radial Velocity,2009
CoRoT-5 b,15.558,148.42,4.0378962,1438.0,786.2949,6100.0,1.186,1.0,882.472,101.2772396,0.8152163,Transit,2009
TrES-3 b,14.975,607.03,1.30618581,1638.0,1025.5022,5650.0,0.829,0.928,231.337,268.0291106,37.5463268,Transit,2007
Kepler-51 d,9.7,7.6,130.194,381.0,2.466,6018.0,0.94,1.04,783.831,296.4797624,49.9376486,Transit,2014
HD 207832 c,14.0,232.0159,1155.7,,,5710.0,0.901,0.94,58.9291,328.1517893,-26.0271749,Radial Velocity,2012
HAT-P-39 b,17.609,190.372,3.54387,1752.0,1915.6934,6430.0,1.625,1.404,697.004,113.7582526,17.8300283,Transit,2012
Kepler-18 c,5.49,17.3,7.64159,899.0,126.081,5345.0,1.108,0.972,433.047,298.0794448,44.746248,Transit,2011
KMT-2023-BLG-2209L b,13.9,254.2627256,,,,,,0.73,5570.0,268.9942083,-29.3056694,Microlensing,2025
Kepler-452 b,1.63,3.29,384.843,265.0,1.1,5757.0,1.11,1.037,551.727,296.003752,44.2775861,Transit,2015
MOA-2008-BLG-310L b,5.18,23.4,,,,,,0.21,7700.0,268.560542,-34.7780528,Microlensing,2009
GJ 3998 b,1.39,2.5,2.65033,,48.0,3726.0,0.5,0.52,18.1459,259.0020507,11.0561751,Radial Velocity,2016
WASP-46 b,13.159366,607.0553,1.43036763,1636.0,1281.2408,5600.0,0.858,0.828,375.31,318.7370122,-55.8718634,Transit,2011
WASP-79 b,17.14974047,270.15414595,3.662392,1716.2,1645.9887,6600.0,1.51,1.39,246.69,66.3709016,-30.6004362,Transit,2012
Kepler-46 c,13.5,119.499,57.011,455.0,,5155.0,0.938,0.902,777.06,289.2687388,42.6041819,Transit Timing Variations,2012
Kepler-1499 b,1.19,1.81,44.2008,409.0,7.371,5097.0,0.78,0.82,309.869,283.986348,41.6505091,Transit,2016
OGLE-TR-111 b,11.421971,174.799,4.0144463,1019.0,,5040.0,0.83,0.82,1068.33,163.324115,-61.4056976,Transit,2004
HAT-P-13 b,14.258,270.462,2.91625,1740.0,1978.5245,5653.0,1.756,1.32,246.81,129.8823772,47.3519076,Transit,2009
HAT-P-13 c,12.3,4538.421,446.27,340.0,,5653.0,1.756,1.32,246.81,129.8823772,47.3519076,Radial Velocity,2009
MOA-2009-BLG-387L b,13.2,830.0,1980.0,,,,,0.19,5690.0,268.461625,-33.9903333,Microlensing,2010
Kepler-18 b,2.0,6.9,3.504725,1165.0,355.735,5345.0,1.108,0.972,433.047,298.0794448,44.746248,Transit,2011
Kepler-18 d,6.98,16.4,14.85888,720.0,51.922,5345.0,1.108,0.972,433.047,298.0794448,44.746248,Transit,2011
Kepler-33 c,3.2,0.39,13.17562,1009.0,241.759,5904.0,1.82,1.291,1209.16,289.0775348,46.0051696,Transit,2011
Kepler-32 c,2.0,158.9,8.7522,451.0,10.68,3900.0,0.53,0.58,323.847,297.8423073,46.5743595,Transit,2011
Kepler-166 d,1.73,3.64,1.554003928,1313.0,651.409,5350.0,0.83,0.88,603.53,293.1600977,48.8812074,Transit,2016
Kepler-844 b,1.68,3.46,2.613020856,713.0,89.652,4128.0,0.57,0.59,431.776,287.8578541,48.7739646,Transit,2016
Kepler-327 b,1.11,1.41,2.549575,682.0,73.056,3799.0,0.492,0.591913,241.987,292.6422963,44.0876251,Transit,2014
Kepler-33 b,1.74,3.68,5.66793,1336.0,744.011,5904.0,1.82,1.291,1209.16,289.0775348,46.0051696,Transit,2011
Kepler-1455 b,2.16,5.31,49.276764,298.0,1.533,4075.0,0.6,0.62,357.621,294.0830662,50.5027572,Transit,2016
Kepler-353 b,0.89,0.64,5.795278,534.0,27.189,3903.0,0.504,0.553,384.694,296.8565596,41.7580749,Transit,2014
WASP-10 b,12.106,1001.12,3.0927616,1370.0,174.0323,4675.0,0.698,0.75,140.998,348.9930457,31.4627508,Transit,2008
WASP-62 b,14.79588,165.2716,4.41195,1475.3,653.252,6230.0,1.23,1.11,175.631,87.1398205,-63.9883286,Transit,2012
WASP-136 b,15.46842,479.9233,5.215357,1742.0,1843.4633,6260.0,2.21,1.41,275.587,0.325761,-8.9262512,Transit,2016
HD 109749 b,11.1,85.8141,5.239891,,,5824.0,1.22,1.13,63.0821,189.3173489,-40.8121458,Radial Velocity,2005
HD 149143 b,13.6,422.7139,4.07182,,,5856.0,1.44,1.2,73.2801,248.2126715,2.0844547,Radial Velocity,2005
HD 231701 b,13.7,359.1479,141.63,,,6101.0,1.53,1.21,108.877,293.017622,16.4743566,Radial Velocity,2007
TOI-1683.01,2.6382,7.45,3.0575356,929.25,163.056,4402.0,0.7,0.694661,51.1884,65.9796504,27.8223701,Transit,2024
Kepler-213 b,1.62,3.26,2.46236,1326.0,833.469,5696.0,1.195,1.07,634.939,290.8241931,44.6472832,Transit,2014
V830 Tau b,14.0,222.481,4.927,,,4250.0,2.0,1.0,130.111,68.2918259,24.5619241,Radial Velocity,2016
Kepler-52 b,2.1,135.0,7.8773565,553.0,22.72,4075.0,0.52,0.54,321.542,286.7380152,49.9757383,Transit,2012
Kepler-166 c,2.38,6.26,34.260281,468.0,10.507,5413.0,0.742,0.811,603.53,293.1600977,48.8812074,Transit,2014
GJ 1214 b,2.733,8.41,1.580404531,567.0,17.2,3101.0,0.2162,0.182,14.6427,258.8313991,4.9606795,Transit,2009
HAT-P-26 b,7.06167,22.2481,4.23452,1001.0,185.0743,5079.0,0.87,1.12,141.837,213.1565508,4.0594175,Transit,2010
GJ 3634 b,2.83,8.4,2.64561,,,3517.0,0.43,0.45,20.3779,164.6433493,-31.1443383,Radial Velocity,2010
HAT-P-4 b,14.28,213.255,3.056536,1686.0,1438.0,5860.0,1.596,1.248,320.451,229.99122,36.229545,Transit,2007
OGLE-TR-132 b,13.45,375.02,1.689868,2013.0,,6210.0,1.32,1.305,2012.62,162.6440933,-61.9572476,Transit,2004
OGLE-TR-56 b,15.278,441.77,1.2119189,2212.0,,6050.0,1.363,1.228,282.83913869,269.1479583,-29.5392222,Transit,2002
Kepler-55 b,2.43,43.0,27.9481449,400.0,6.642,4362.0,0.58,0.62,578.796,285.1683291,44.0264898,Transit,2012
HAT-P-18 b,11.153,62.61,5.508023,852.0,82.2407,4803.0,0.749,0.77,161.4,256.346376,33.0123251,Transit,2010
Kepler-46 b,9.057,1907.0,33.60134,543.0,10.9,5155.0,0.938,0.902,777.06,289.2687388,42.6041819,Transit,2012
WTS-1 b,16.7,1274.44,3.352057,1500.0,,6250.0,1.15,1.2,2346.01,293.9850284,36.2962939,Transit,2012
HD 37605 b,13.2,854.9627,55.01292,,,5329.0,0.91,0.94,46.7864,85.0074276,6.0595116,Radial Velocity,2004
HIP 14810 b,13.0,1239.537,6.673892,,,5544.0,1.07,1.01,50.48,47.809275,21.0971302,Radial Velocity,2005
HIP 14810 c,13.6,416.3573,147.747,,,5544.0,1.07,1.01,50.48,47.809275,21.0971302,Radial Velocity,2006
HD 17674 b,13.9,276.5121,623.8,,,5904.0,1.18,0.98,44.4264,42.7684964,30.2865981,Radial Velocity,2017
HD 20329 b,1.72,7.42,0.926118,2141.0,3474.0,5596.0,1.13,0.9,63.6796,49.178124,15.6563542,Transit,2022
HD 135344 A b,16.25302201,3178.28407,,1585.0,,9540.0,1.5,2.32,141.595,228.9538416,-37.1489176,Imaging,2025
WASP-5 b,12.184,502.15,1.6284279,1706.0,1559.4762,5700.0,1.029,0.96,309.137,359.3490277,-41.2772202,Transit,2008
OGLE-2015-BLG-0051L b,14.0,230.0,,,,,,0.1,8200.0,269.662537,-28.0316944,Microlensing,2016
HAT-P-28 b,13.585,198.953,3.257215,1384.0,554.7122,5680.0,1.103,1.025,401.319,13.0009159,34.728402,Transit,2011
47 UMa b,13.2,804.08,1078.0,,,5872.0,1.21334,1.06,13.7967,164.8647611,40.4304931,Radial Velocity,1996
47 UMa c,14.2,171.621,2391.0,,,5872.0,1.21334,1.06,13.7967,164.8647611,40.4304931,Radial Velocity,2001
BD-08 2823 c,12.5,104.0,237.6,,,4746.0,0.71,0.74,41.3342,150.1971964,-9.5165689,Radial Velocity,2009
HD 40307 b,1.83,4.0,4.3123,910.0,,4956.0,0.716684,0.77,12.9363,88.5172191,-60.0237289,Radial Velocity,2009
HD 40307 f,2.13,5.2,51.76,398.0,,4956.0,0.716684,0.77,12.9363,88.5172191,-60.0237289,Radial Velocity,2013
WASP-59 b,8.687,274.276,7.919585,670.0,38.0328,4650.0,0.613,0.719,115.936,349.6229547,24.889277,Transit,2012
HD 190984 b,13.0,1137.82569706,4885.0,,,5988.0,1.53,0.91,148.187,302.8779827,-64.6202728,Radial Velocity,2009
HIP 14810 d,14.1,187.5197,981.8,,,5544.0,1.07,1.01,50.48,47.809275,21.0971302,Radial Velocity,2009
HD 207832 b,14.2,177.9848,160.07,,,5726.0,0.89,1.05,58.9291,328.1517893,-26.0271749,Radial Velocity,2012
HD 1605 b,13.8,296.85322,577.2,,,4915.0,3.49,1.33,88.8047,5.1317548,30.9750611,Radial Velocity,2015
USco1556 b,12.3,4767.45,,2240.0,,3410.0,0.668108,0.33,140.635,239.1037198,-25.6890476,Imaging,2019
Kepler-283 b,2.13,5.18,11.008151,488.0,16.26,4351.0,0.566,0.596,468.094,293.6137413,47.838938,Transit,2014
HD 33142 b,13.7,400.46379282,330.0,,,5025.4,4.17,1.52,121.375,76.8980559,-13.9863374,Radial Velocity,2011
CoRoT-6 b,13.068,940.74,8.886593,1017.0,,6090.0,1.025,1.05,645.294,281.0725563,6.6632062,Transit,2009
GQ Lup b,33.6,6356.0,,2650.0,,4360.0,1.94153,0.7,151.169,237.3003643,-35.6515055,Imaging,2004
HD 110014 b,12.4,3524.59,835.477,,,4445.0,20.9,2.17,100.758,189.8111935,-7.9956702,Radial Velocity,2009
HD 103774 b,13.3,116.0,5.8881,,,6489.0,1.581047,1.335,56.4089,179.2310729,-12.1079951,Radial Velocity,2013
HD 109271 b,4.31,17.162,7.8543,,,5783.0,1.294595,1.047,55.8716,188.397397,-11.6215204,Radial Velocity,2013
HD 10647 b,13.8,298.75,989.2,,,6218.0,1.1,1.11,17.3357,25.6233526,-53.7412852,Radial Velocity,2006
HD 1605 c,13.0,1150.5446,2149.0,,,4915.0,3.49,1.33,88.8047,5.1317548,30.9750611,Radial Velocity,2015
HD 148164 b,13.7,390.9309,328.55,,,6032.0,1.34,1.21,77.1971,246.4351678,11.9190729,Radial Velocity,2018
HD 211810 b,14.0,212.9461,1558.0,,,5652.0,1.13,1.03,64.6353,334.5286724,61.1349912,Radial Velocity,2018
Kepler-356 c,1.81,3.93,13.121632,913.0,209.368,6133.0,1.335,1.163,707.559,292.4210998,37.6827919,Transit,2014
KOI-1833 d,2.58,11.02,7.685,613.0,27.35,4413.0,0.667,0.681,290.324,285.6025889,50.1120401,Transit,2021
NY Vir b,13.3,730.978,3160.0,,,32780.0,0.151,0.459,544.024,204.7005847,-2.0303873,Eclipse Timing Variations,2011
KMT-2024-BLG-1044L b,2.7,7.75,,,,,,0.069,7140.0,271.564,-27.5925806,Microlensing,2024
HIP 5158 b,13.6,451.0,345.72,,,4962.0,0.75,0.78,51.6026,16.5094891,-22.4536134,Radial Velocity,2009
HD 134987 c,13.9,260.0,5000.0,,,5585.0,1.25,1.1,26.1804,228.3675397,-25.3096721,Radial Velocity,2009
KMT-2022-BLG-1790L b,13.5,549.84314411,,,,,,0.58,6480.0,271.05625,-27.03475,Microlensing,2025
WASP-64 b,14.247,403.945,1.5732918,1689.0,1563.6374,5400.0,1.058,1.004,369.926,101.1149223,-32.8583878,Transit,2012
PH1 b,6.18,169.0,138.317,481.0,,6407.0,1.734,1.528,1033.16,298.2150641,39.9550863,Transit,2012
Kepler-297 b,2.87,48.5,38.871826,509.0,16.464,5619.0,0.915,0.927,692.14,283.2091605,48.7776156,Transit,2014
Kepler-160 d,,100.0,30.0,,,5471.0,1.118,1.003,937.013,287.773573,42.8692755,Transit Timing Variations,2020
HD 191939 c,3.195,8.0,28.579743,600.0,21.0,5348.0,0.94,0.81,53.6089,302.0256247,66.8503014,Transit,2020
PSR B1257+12 b,0.338,0.02,25.262,,,,,1.4,600.0,195.0149029,12.6823534,Pulsar Timing,1994
PSR B1257+12 d,1.8,3.9,98.2114,,,,,1.4,600.0,195.0149029,12.6823534,Pulsar Timing,1992
Kepler-1178 b,1.07,1.24,31.80634,378.0,23.237,4990.0,0.75,0.8,482.287,288.4561183,45.8022258,Transit,2016
Kepler-805 b,2.89,8.7,30.8638931,743.0,86.473,6112.0,1.65,1.19,638.49,293.2300178,45.053364,Transit,2016
Kepler-158 d,0.43,0.0472,0.645088,,,4895.97,0.668,0.656,315.177,284.0323723,39.7815365,Transit,2024
K2-368 d,1.948,4.45,20.201085,,,4663.0,0.663,0.746,206.608,332.6357627,-11.1661157,Transit,2022
HD 148156 b,13.9,270.144,1027.0,,,6308.0,1.21,1.22,57.1289,247.0723035,-46.3175085,Radial Velocity,2009
HD 156411 b,14.0,235.18,842.2,,,5900.0,2.16,1.25,56.8655,259.9639522,-48.5502313,Radial Velocity,2009
HD 8535 b,14.0,216.1244,1313.0,,,6136.0,1.19,1.13,55.4401,20.9054804,-41.2701007,Radial Velocity,2010
Kepler-267 b,1.98,37.9,3.353728,615.0,45.843,4258.0,0.555,0.541571,264.993,299.8305655,47.1575741,Transit,2014
XO-7 b,15.389957,225.34147,2.8641424,1743.0,1540.0,6250.0,1.48,1.405,234.149,277.4780753,85.2333208,Transit,2019
Kepler-834 b,2.02,4.74,13.32388301,378.0,11.845,4554.0,0.66,0.7,633.937,287.0544674,45.1803351,Transit,2016
Kepler-303 b,0.89,0.64,1.937055,802.0,145.436,3944.0,0.485,0.575,209.738,283.1354742,43.6567036,Transit,2014
Kepler-125 b,2.37,6.21,4.164389,590.0,33.184,3810.0,0.512,0.542101,183.365,298.2581101,47.6050031,Transit,2014
GJ 674 b,3.33,11.09,4.6938,,,3600.0,0.36463,0.35,4.54896,262.1700476,-46.8989826,Radial Velocity,2007
HD 69830 d,4.45,18.1,197.0,,,5385.0,0.886947,0.86,12.5591,124.6010091,-12.6364246,Radial Velocity,2006
HD 93083 b,13.4,117.59,143.58,,,4995.0,0.850835,0.7,28.5159,161.0866672,-33.5776794,Radial Velocity,2005
K2-291 b,1.589,6.49,2.225177,1278.0,633.0,5520.0,0.899,0.934,90.0562,76.44594,21.548199,Transit,2019
ZTF J1828+2308 b,11.13051784,6356.56814,0.1120067,,,15900.0,0.0131,0.61,201.827,277.2031946,23.1439121,Transit,2025
GJ 887 c,2.67,7.6,21.789,352.0,2.56,3688.0,0.4712,0.489,3.29,346.4668274,-35.8530693,Radial Velocity,2020
CoRoT-17 b,11.43,772.29,3.7681,1626.0,,5740.0,1.59,1.04,1176.12,278.699236,-6.612288,Transit,2011
HD 132563 b,13.6,473.547,1544.0,,,6289.0,1.29577,1.231,105.155,224.5892892,44.0428571,Radial Velocity,2011
Kepler-14 b,12.733,2669.66,6.790123,1605.0,1029.51,6395.0,2.048,1.512,798.0,287.708814,47.33305,Transit,2011
UZ For c,,2447.2,1916.25,,,5286.9,,0.7,239.60387482,53.8694682,-25.7393857,Eclipse Timing Variations,2011
WASP-1 b,16.623,271.415,2.5199454,1812.0,2121.5175,6110.0,1.47,1.24,393.072,5.1669536,31.9899732,Transit,2007
ROXs 42 B b,12.5,2860.0,,1975.0,,3433.0,1.33658,1.0,143.59,247.8125493,-24.545577,Imaging,2013
HD 221287 b,13.1,982.05,456.1,,,6304.0,1.13864,1.25,55.9231,352.836223,-58.209754,Radial Velocity,2007
HD 47536 b,12.6,2330.0,712.13,,,4380.0,23.47,2.1,122.536,99.448958,-32.3394531,Radial Velocity,2002
HD 11977 b,12.7,2080.0,711.0,,,4970.0,10.09,1.91,67.9331,28.7347403,-67.6469871,Radial Velocity,2005
HD 62509 b,13.3,731.0,589.64,,,4892.63,8.9,2.0,10.34,116.328824,28.026127,Radial Velocity,2006
WASP-126 b,10.51358773,90.3,3.28883,1480.0,759.3374,5800.0,1.27,1.12,216.526,63.374706,-69.2265926,Transit,2016
Kepler-901 b,1.37,2.45,3.517494394,704.0,68.723,4184.0,0.57,0.59,253.867,291.1528056,40.8876814,Transit,2016
Kepler-48 e,13.4,657.0,982.0,,,5194.0,0.89,0.88,306.738,299.1393094,40.948939,Radial Velocity,2014
Kepler-407 c,12.3,4000.0,3000.0,,,5476.0,1.01,1.0,338.368,286.0363025,49.6145027,Radial Velocity,2014
WASP-121 b,19.64934317,367.7274669,1.27492504,2720.0,6216.41,6776.0,1.458,1.358,269.898,107.6002312,-39.0972705,Transit,2016
Kepler-235 e,2.22,5.56,46.183669,306.0,1.33,4255.0,0.554,0.581,428.018,286.0790779,39.278237,Transit,2014
Kepler-498 b,3.03,9.43,9.61375356,931.0,202.775,5744.0,0.96,0.98,938.844,290.3581592,44.5187225,Transit,2016
WASP-189 b,18.14733975,632.47852993,2.724033,3353.0,,8000.0,2.36,2.03,99.731,225.686732,-3.0314874,Transit,2020
HD 191939 e,13.0,112.2,101.12,390.0,3.9,5348.0,0.94,0.81,53.6089,302.0256247,66.8503014,Radial Velocity,2022
HD 93963 A c,3.11976057,18.4,3.6451389,1212.45,543.8,5908.0,1.0311,1.0844,82.3432,162.7766969,25.641065,Transit,2022
WASP-123 b,14.773462,285.72917,2.9776412,1520.0,758.324,5740.0,1.285,1.166,197.996,289.4792124,-32.8601244,Transit,2016
OGLE-2017-BLG-0640L b,13.5,514.88201934,,,,,,0.32,6630.0,267.465125,-29.4615,Microlensing,2024
Kepler-281 c,5.31,161.124,36.337373,513.0,35.203,5723.0,0.899,0.95,1745.45,294.1081465,44.7706524,Transit,2014
TOI-1011 b,1.45,4.04,2.470498,1364.0,575.597,5475.0,0.92,0.91,52.62,113.9847611,-32.8419988,Transit,2025
Kepler-279 c,4.3,49.4,35.736,774.0,60.157,6689.45,1.07,1.1,1037.4,287.391295,42.194822,Transit,2013
TOI-1439 b,4.2427861,38.5,27.644,748.4,68.4355,5841.0,1.6184,1.2313,230.306,241.7639371,67.8776404,Transit,2024
Kepler-16 b,8.4493,105.833,228.776,,,4450.0,0.6489,0.6897,75.0852,289.0758307,51.757229,Transit,2011
GJ 1132 c,1.43,2.64,8.929,300.0,,3270.0,0.2105,0.181,12.613,153.7090696,-47.1549358,Radial Velocity,2018
Kepler-128 b,1.421,3.79,15.0,968.0,227.398,6072.0,1.659,1.184,396.379,282.4922622,43.9802442,Transit,2013
L 98-59 c,1.329,2.0,3.6906764,526.0,12.7,3415.0,0.3155,0.2923,10.6194,124.5328604,-68.3144658,Transit,2019
Kepler-219 c,3.58,12.5,22.714613,766.0,54.105,5786.0,1.491,1.164,787.07,288.7389481,46.7625929,Transit,2014
Kepler-238 d,3.07,23.1,13.233549,888.0,213.48,5751.0,1.43,1.229,1798.75,287.8971066,40.6378141,Transit,2014
Kepler-80 e,1.6,4.13,4.64489,629.0,94.781,4540.0,0.678,0.73,369.451,296.1125759,39.9787451,Transit,2014
Kepler-82 d,1.77,885.098,2.382961,1253.0,484.351,5428.0,0.945,0.946,904.326,292.8733696,42.9661583,Transit,2014
WASP-172 b,17.59813,149.3801,5.477433,1740.0,1506.5,6900.0,1.91,1.49,538.11,199.433742,-47.2375748,Transit,2018
WASP-17 b,20.96083,247.9074,3.73543,1755.0,1292.19,6550.0,1.49,2.28,405.908,239.9622479,-28.0617941,Transit,2009
WASP-185 b,14.01125,311.4734,9.38755,1160.0,662.3252,5900.0,1.5,1.12,279.35,214.0595791,-19.5423062,Transit,2019
K2-117 c,2.06,4.9,5.444017,537.0,21.4,3778.0,0.51,0.54,101.632,133.8557342,10.4692176,Transit,2017
CoRoT-32 b,6.38913,47.6745,6.71837,938.0,132.26,5970.0,0.79,1.08,576.683,100.1951714,9.2573953,Transit,2018
