pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,pl_insol,st_teff,st_rad,st_mass,sy_dist,ra,dec,discoverymethod,disc_year
Kepler-887 b,1.84,4.04,20.42228798,785.0,109.842,6194.0,1.29,1.19,886.588,290.0907893,39.8169085,Transit,2016
Kepler-154 b,2.26,5.73,33.040532,561.0,28.11,5690.0,1.001,0.933,915.212,289.7805393,49.8965624,Transit,2014
HAT-P-62 b,12.02723629,241.86741773,2.6453235,1512.0,867.2,5629.0,1.17,1.023,348.815,74.5043816,48.3008551,Transit,2021
Kepler-1370 c,1.27,2.15,7.44142113,1075.0,503.722,6202.0,1.29,1.19,1004.1,284.5656897,41.7784781,Transit,2016
HD 219666 b,4.898,17.6,6.034468,1076.0,64.2648,5540.0,1.059,1.02,94.1719,349.5592665,-56.9039857,Transit,2018
Kepler-1967 b,0.73022577,0.315,7.281690121,1086.0,57.1,4970.0,1.806,0.996,249.102,299.1376276,43.4984724,Transit,2021
HD 194490 b,12.4,3561.90295725,13092.18348,,,5861.32,1.14911,1.06,80.2349,306.9980087,-51.6644646,Radial Velocity,2022
Kepler-393 b,1.29,2.21,9.182417,1052.0,429.813,6189.0,1.382,1.256,881.404,290.995205,45.192188,Transit,2014
HD 118203 b,12.778238,680.15279098,6.1349779,1361.0,593.4,5742.0,2.04,1.27,92.2589,203.509956,53.7281876,Radial Velocity,2005
Kepler-1735 b,1.19429134,1.84,7.71792984,502.0,15.01,3975.0,0.509,0.535,245.303,281.0503476,47.1882005,Transit,2021
Kepler-301 b,1.35,2.39,2.508553,1278.0,665.437,5815.0,0.9,1.022,719.166,283.982904,49.2329512,Transit,2014
HD 116029 c,13.7,403.6441,907.0,,,4951.0,4.6,1.33,123.245,200.1646905,24.6484725,Radial Velocity,2018
HD 211403 b,12.8,1760.76937478,223.8,380.0,3.44,6273.0,1.206,1.2,83.0919,333.8158177,58.2755601,Radial Velocity,2021
Kepler-1613 b,2.08,4.98,1.5184299,1926.0,6797.623,6005.0,1.12,1.08,1508.33,289.8750066,43.4209318,Transit,2016
Kepler-1532 b,1.35,2.39,1.093663559,1681.0,1705.762,5559.0,0.88,0.91,798.246,296.902784,41.1981424,Transit,2016
HD 158259 d,2.18,5.41,5.1980814,,,5801.89,1.21,1.08,27.0498,261.3495847,52.7904721,Radial Velocity,2020
Kepler-965 b,3.38,11.4,134.2527298,393.0,4.98,5886.0,1.15,1.05,582.828,298.5153169,41.8912305,Transit,2016
Kepler-513 b,2.2,5.48,28.86235584,623.0,36.527,5849.0,1.06,1.02,468.258,285.0416235,50.0753913,Transit,2016
Kepler-418 b,13.45,349.6112477,86.67856,434.0,8.877,5820.0,1.09,0.98,1002.53,294.4335228,38.3554729,Transit,2014
Kepler-1435 b,0.86,0.566,4.45343281,1331.0,893.886,6356.0,1.32,1.21,704.211,291.1732806,44.9210836,Transit,2016
HD 188641 b,11.9,9333.03117155,14583.81038,,,5897.32,1.94492,1.07,64.3399,299.4048303,-37.7448845,Radial Velocity,2022
Kepler-431 b,0.764,0.37,6.803,1032.0,577.545,6004.0,1.092,1.071,486.546,281.1123072,43.2277663,Transit,2015
TOI-1279 b,2.66146528,10.6,9.61419,759.0,74.7359,5457.0,0.8426,0.8784,107.055,185.0628734,56.2014094,Transit,2024
Kepler-1575 b,1.31,2.27,2.55314213,1312.0,803.679,5667.0,0.92,0.95,1246.92,293.7432102,45.7615507,Transit,2016
K2-187 b,1.2,1.87,0.77401,1815.0,,5438.0,0.83,0.966999,330.916,132.5235618,23.1924709,Transit,2018
KOI-94 b,1.71,10.5,3.743208,1486.0,1053.181,6182.0,1.52,1.277,477.052,297.3330716,41.8911186,Transit,2013
KOI-94 d,11.27,106.0,22.342989,806.0,97.12,6182.0,1.52,1.277,477.052,297.3330716,41.8911186,Transit,2013
Kepler-63 b,6.11,120.0,9.4341505,791.0,100.371,5576.0,0.901,0.984,194.033,289.2262876,49.5482814,Transit,2013
Kepler-81 b,2.42,17.2,5.955,635.0,39.95,4385.0,0.59,0.64,348.291,293.6369437,42.8248275,Transit,2012
KMT-2020-BLG-0414L c,12.2,4894.5574678,,,,,,0.259,800.0,271.915,-28.4852222,Microlensing,2021
Kepler-87 b,13.49,324.2,114.73635,478.0,9.203,5600.0,1.82,1.1,1232.9,297.9168433,46.9651146,Transit,2013
Gaia22dkvL b,14.1,187.83658854,,,,,,1.145,1270.0,151.769,-66.1808889,Microlensing,2024
Kepler-1065 c,1.6,3.19,2.37030743,1256.0,734.619,5635.0,0.93,0.94,1122.48,294.511319,38.7904648,Transit,2016
Kepler-1965 b,1.35415138,2.4,41.86869812,492.0,13.8,5852.0,0.837,0.928,521.791,292.5147146,38.0219872,Transit,2021
WASP-133 b,13.56289,368.6828,2.176423,1790.0,2054.7956,5700.0,1.44,1.16,559.084,314.5754375,-35.7966224,Transit,2016
Kepler-389 c,1.46,2.73,14.51143,636.0,22.735,5376.0,0.792,0.765,816.559,291.9600082,44.9000587,Transit,2014
HD 6718 b,13.5,533.9544,2496.0,,,5801.0,0.95,1.08,51.3444,16.9536005,-8.2336165,Radial Velocity,2009
K2-184 b,1.47,2.76,16.9780102,533.0,,5245.0,0.75,0.84,75.5857,129.1405227,14.4618826,Transit,2018
WASP-148 c,13.9,124.58873554,34.524,590.0,,5555.0,0.912,0.954,246.353,254.1305022,44.3025361,Radial Velocity,2020
Kepler-777 b,1.47,2.76,5.72812599,569.0,33.953,4043.0,0.56,0.58,443.106,282.7241098,44.3465098,Transit,2016
Kepler-56 c,9.8,181.0,21.40239,1087.0,317.206,4840.0,4.23,1.32,912.994,293.7583002,41.871807,Transit,2012
KIC 10001893 b,,,0.2197,,,27500.0,0.18,0.47,1672.94,287.3892308,46.9844491,Orbital Brightness Modulation,2014
Kepler-62 b,1.31,9.0,5.714932,750.0,80.326,4925.0,0.64,0.69,300.874,283.2125621,45.3496992,Transit,2013
HD 21520 b,2.697,17.7,25.1292,637.0,,5871.0,1.044,1.09,79.208,51.6403449,-43.6136649,Transit,2024
Kepler-1987 e,1.92,4.35,8.74292005,643.0,40.33,4769.0,0.714,0.799,595.683,295.8254663,42.9433716,Transit,2023
TOI-1758 b,3.62,6.9,20.705074685,551.44,21.05,5169.0,0.81,0.88,96.6215,354.741581,75.6852317,Transit,2024
KMT-2016-BLG-1105L b,1.33,2.32,,,,,,0.41,5080.0,266.44725,-26.2663694,Microlensing,2023
TOI-6478 b,4.6,19.2,34.005019,204.4,0.0003,3230.0,0.234,0.23,38.6057,149.9918059,-16.1597935,Transit,2025
Kepler-1338 b,0.92,0.721,0.935118057,2124.0,4712.111,5909.0,1.05,1.04,753.26,284.0422701,41.6990348,Transit,2016
Kepler-961 b,2.55,7.04,16.87727414,642.0,40.4,5582.0,0.9,0.96,574.314,282.0354942,43.6312491,Transit,2016
HD 35843 b,2.29,5.84,9.8991,,,5666.0,0.897,0.94,69.6026,81.3488924,-44.4312849,Radial Velocity,2025
OGLE-2018-BLG-1011L c,13.2,890.0,,,,,,0.18,7100.0,269.014,-29.0828889,Microlensing,2019
Kepler-1265 b,1.35,2.39,6.49441289,732.0,58.15,4630.0,0.69,0.71,583.641,284.5858364,47.0795646,Transit,2016
Kepler-184 b,2.36,6.17,10.687576,780.0,70.361,5788.0,0.873,0.872,610.326,291.9518784,43.0746172,Transit,2014
Kepler-238 e,5.6,169.7,23.654,731.0,98.461,5800.0,0.96,1.06,1798.75,287.8971066,40.6378141,Transit,2013
Kepler-410 A b,2.838,8.44,17.833648,866.0,159.5,6273.0,1.352,1.214,147.527,283.1510448,45.1400838,Transit,2013
OGLE-2016-BLG-1800L b,13.2,823.17557413,,,,,,0.41,6480.0,269.9032083,-30.8653611,Microlensing,2024
Kepler-85 e,1.27,0.6,25.216751,559.0,24.318,5436.0,0.893,0.947,765.025,290.9734395,45.2902761,Transit,2014
Kepler-130 d,1.64,3.33,87.517905,451.0,9.834,5884.0,1.127,0.927,316.663,288.4505905,40.2452006,Transit,2014
HIP 8541 b,12.6,2451.7283316,1852.14387,,,4670.0,7.83,2.009,155.121,27.5271962,-54.4651633,Radial Velocity,2016
Kepler-1886 b,2.58158428,7.18,24.2758007,580.0,26.68,5745.0,0.837,0.928,1059.51,296.2645118,39.4059745,Transit,2021
